('1','Факт/Среднесуточный/SAS/1ый месяц год/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-01-01 00:00:00', '145.95', 'SAS', '8', '1', '1'),
('2','Факт/Среднесуточный/SAS/1ый месяц год/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-01-09 00:00:00', '189.54545', 'SAS', '8', '1', '1'),
('3','Факт/Среднесуточный/SAS/1ый месяц год/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-01-31 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('4','Факт/Среднесуточный/SAS/2 месяца года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-02-01 00:00:00', '218.94509196605', 'SAS', '8', '1', '1'),
('5','Факт/Среднесуточный/SAS/2 месяца года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-02-09 00:00:00', '206.89852381759', 'SAS', '8', '1', '1'),
('6','Факт/Среднесуточный/SAS/2 месяца года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-02-28 00:00:00', '218.224511676502', 'SAS', '8', '1', '1'),
('7','Факт/Среднесуточный/SAS/3 месяца года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-03-01 00:00:00', '216.280029065227', 'SAS', '8', '1', '1'),
('8','Факт/Среднесуточный/SAS/3 месяца года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-03-04 00:00:00', '212.129700231263', 'SAS', '8', '1', '1'),
('9','Факт/Среднесуточный/SAS/3 месяца года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-03-31 00:00:00', '212.712922277929', 'SAS', '8', '1', '1'),
('10','Факт/Среднесуточный/SAS/4 месяца года/перый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-04-01 00:00:00', '211.729616881811', 'SAS', '8', '1', '1'),
('11','Факт/Среднесуточный/SAS/4 месяца года/не перый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-04-11 00:00:00', '205.373471907636', 'SAS', '8', '1', '1'),
('12','Факт/Среднесуточный/SAS/4 месяца года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-04-30 00:00:00', '218.092772515947', 'SAS', '8', '1', '1'),
('13','Факт/Среднесуточный/SAS/5 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-05-01 00:00:00', '217.292263910278', 'SAS', '8', '1', '1'),
('14','Факт/Среднесуточный/SAS/5 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-05-05 00:00:00', '215.538310864509', 'SAS', '8', '1', '1'),
('15','Факт/Среднесуточный/SAS/5 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-05-31 00:00:00', '217.528299433878', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-06-30 00:00:00', '216.894765378392', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-06-08 00:00:00', '213.890765535937', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-06-30 00:00:00', '218.304789548097', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-07-01 00:00:00', '217.722413348932', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-07-09 00:00:00', '215.079921565082', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-07-31 00:00:00', '221.526076271036', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-08-01 00:00:00', '221.013476581219', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-08-09 00:00:00', '218.178449047329', 'SAS', '8', '1', '1'),
('24','Факт/Среднесуточный/SAS/8 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-08-31 00:00:00', '221.60469457613', 'SAS', '8', '1', '1'),
('25','Факт/Среднесуточный/SAS/9 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-09-01 00:00:00', '221.165463956652', 'SAS', '8', '1', '1'),
('26','Факт/Среднесуточный/SAS/9 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-09-08 00:00:00', '219.53457090964', 'SAS', '8', '1', '1'),
('27','Факт/Среднесуточный/SAS/9 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-09-30 00:00:00', '223.322016406445', 'SAS', '8', '1', '1'),
('28','Факт/Среднесуточный/SAS/10 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-10-01 00:00:00', '223.037423041252', 'SAS', '8', '1', '1'),
('29','Факт/Среднесуточный/SAS/10 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-10-09 00:00:00', '221.535459787378', 'SAS', '8', '1', '1'),
('30','Факт/Среднесуточный/SAS/10 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-10-31 00:00:00', '225.171068312861', 'SAS', '8', '1', '1'),
('31','Факт/Среднесуточный/SAS/11 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-11-01 00:00:00', '224.837469506655', 'SAS', '8', '1', '1'),
('32','Факт/Среднесуточный/SAS/11 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-11-07 00:00:00', '223.371803953408', 'SAS', '8', '1', '1'),
('33','Факт/Среднесуточный/SAS/11 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-11-30 00:00:00', '225.803588205924', 'SAS', '8', '1', '1'),
('34','Факт/Среднесуточный/SAS/12 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-12-01 00:00:00', '225.533465021131', 'SAS', '8', '1', '1'),
('35','Факт/Среднесуточный/SAS/12 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-12-11 00:00:00', '223.872649931938', 'SAS', '8', '1', '1'),
('36','Факт/Среднесуточный/SAS/12 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2018-12-31 00:00:00', '227.368768421312', 'SAS', '8', '1', '1'),
('37','Факт/Среднесуточный/ARM/12 м года/нет данных за 1-ый  месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '1', '38', '2019-12-03 00:00:00', '218.978999944835', 'ARM', '8', '1', '1'),
('39','Факт/Среднесуточный/NSAS/12 м года/нет данных за 6-ой и 7-ой месяц','00007','Участковая скорость', 'км/ч', '90', '51', '5', '86', '3', '17', '228', '1', '54', '2019-12-10 00:00:00', '35.7752650176678', 'NSAS', '8', '1', '1')
