('1','Факт/Среднесуточный/SAS/1 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-01-01 00:00:00', '207.714133333333', 'SAS', '8', '1', '1'),
('2','Факт/Среднесуточный/SAS/2 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-02-01 00:00:00', '213.004677419354', 'SAS', '8', '1', '1'),
('3','Факт/Среднесуточный/SAS/3 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-03-01 00:00:00', '210.1027', 'SAS', '8', '1', '1'),
('4','Факт/Среднесуточный/SAS/4 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-04-01 00:00:00', '202.062774193548', 'SAS', '8', '1', '1'),
('5','Факт/Среднесуточный/SAS/5 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-05-01 00:00:00', '215.847129032258', 'SAS', '8', '1', '1'),
('6','Факт/Среднесуточный/SAS/6 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-06-01 00:00:00', '218.6963', 'SAS', '8', '1', '1'),
('7','Факт/Среднесуточный/SAS/7 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-07-01 00:00:00', '216.777778566308', 'SAS', '8', '1', '1'),
('8','Факт/Среднесуточный/SAS/8 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-08-01 00:00:00', '218.360586062468', 'SAS', '8', '1', '1'),
('9','Факт/Среднесуточный/SAS/9 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-09-01 00:00:00', '219.943393558628', 'SAS', '8', '1', '1'),
('10','Факт/Среднесуточный/SAS/10 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-10-01 00:00:00', '221.526201054788', 'SAS', '8', '1', '1'),
('11','Факт/Среднесуточный/SAS/11 м','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-11-01 00:00:00', '223.109008550948', 'SAS', '8', '1', '1'),
