('1','Факт/Базовый/SAS/1ый месяц год/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-01-01 00:00:00', '570.118699999999', 'SAS', '8', '1', '1'),
('2','Факт/Базовый/SAS/1ый месяц год/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-01-07 00:00:00', '3990.83089999999', 'SAS', '8', '1', '1'),
('3','Факт/Базовый/SAS/1ый месяц год/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-01-31 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('4','Факт/Базовый/SAS/2 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('4','Факт/Базовый/SAS/2 месяца года/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-02-01 00:00:00', '550.12414124', 'SAS', '8', '1', '1'),
('5','Факт/Базовый/SAS/2 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('5','Факт/Базовый/SAS/2 месяца года/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-02-11 00:00:00', '6003.312481947', 'SAS', '8', '1', '1'),
('6','Факт/Базовый/SAS/2 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('6','Факт/Базовый/SAS/2 месяца года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-02-28 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('7','Факт/Базовый/SAS/3 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('7','Факт/Базовый/SAS/3 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('7','Факт/Базовый/SAS/3 месяца года/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-03-01 00:00:00', '510.23124553', 'SAS', '8', '1', '1'),
('8','Факт/Базовый/SAS/3 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('8','Факт/Базовый/SAS/3 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('8','Факт/Базовый/SAS/3 месяца года/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-03-09 00:00:00', '4987.1213553', 'SAS', '8', '1', '1'),
('9','Факт/Базовый/SAS/3 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('9','Факт/Базовый/SAS/3 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('9','Факт/Базовый/SAS/3 месяца года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-03-31 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('10','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
