('1', 'Факт/Базовый/SAS/1 месяц кв/не полный м', '00002', 'Тарифный грузооборот (млн.ткм)', 'млн.ткм', '430', '1', '127', '86', '3', '17', '228', '3', '41', '2019-06-06 00:00:00', '2948.997', 'SAS', '8', '1', '1'),
('1', 'Факт/Базовый/SAS/1 месяц кв/посл день', '00002', 'Тарифный грузооборот (млн.ткм)', 'млн.ткм', '430', '1', '127', '86', '4', '17', '228', '7', '41', '2019-04-01 00:00:00', '15360.176', 'SAS', '8', '1', '1'),
('1', 'Факт/Базовый/SAS/1 месяц кв/посл день доп поле', '00002', 'Тарифный грузооборот (млн.ткм)', 'млн.ткм', '430', '1', '127', '86', '4', '17', '228', '7', '41', '2019-05-01 00:00:00', '15429.999', 'SAS', '8', '1', '1'),
('2', 'Факт/Базовый/SAS/1 месяц кв/посл день', '00002', 'Тарифный грузооборот (млн.ткм)', 'млн.ткм', '430', '1', '127', '86', '4', '17', '228', '7', '41', '2018-07-01 00:00:00', '14370.163', 'SAS', '8', '1', '1'),
('2', 'Факт/Базовый/SAS/1 месяц кв/посл день', '00002', 'Тарифный грузооборот (млн.ткм)', 'млн.ткм', '430', '1', '127', '86', '4', '17', '228', '7', '41', '2018-08-01 00:00:00', '14775.679', 'SAS', '8', '1', '1'),
('2', 'Факт/Базовый/SAS/1 месяц кв/посл день', '00002', 'Тарифный грузооборот (млн.ткм)', 'млн.ткм', '430', '1', '127', '86', '4', '17', '228', '7', '41', '2018-09-01 00:00:00', '14497.119', 'SAS', '8', '1', '1'),
('3', 'Факт/Базовый/NSAS/1 месяц кв/посл день', '00034', 'Грузооборот брутто (т-км брутто в грузовом движении)', 'млн. ткм. бр.', '430', '1', '127', '1', '4', '17', '228', '7', '32', '2019-04-01 00:00:00', '3540793110', 'NSAS', '8', '1', '1'),
('3', 'Факт/Базовый/NSAS/1 месяц кв/посл день доп поле', '00034', 'Грузооборот брутто (т-км брутто в грузовом движении)', 'млн. ткм. бр.', '430', '1', '127', '1', '3', '17', '228', '3', '32', '2019-05-01 00:00:00', '112', 'NSAS', '8', '1', '1'),
('4', 'Факт/Базовый/NSAS/1 месяц кв/посл день', '00034', 'Грузооборот брутто (т-км брутто в грузовом движении)', 'млн. ткм. бр.', '430', '1', '127', '1', '4', '17', '228', '7', '32', '2019-04-01 00:00:00', '3540793110', 'NSAS', '8', '1', '1'),
('4', 'Факт/Базовый/NSAS/1 месяц кв/посл день', '00034', 'Грузооборот брутто (т-км брутто в грузовом движении)', 'млн. ткм. бр.', '430', '1', '127', '1', '4', '17', '228', '7', '32', '2019-05-01 00:00:00', '3546121312', 'NSAS', '8', '1', '1'),
('4', 'Факт/Базовый/NSAS/1 месяц кв/посл день', '00034', 'Грузооборот брутто (т-км брутто в грузовом движении)', 'млн. ткм. бр.', '430', '1', '127', '1', '4', '17', '228', '7', '32', '2019-06-01 00:00:00', '3321493533', 'NSAS', '8', '1', '1'),
('5', 'Факт/Базовый/ARM/1 месяц кв/не посл день', '00006', 'Начисленная выручка от перевозочных видов деятельности', 'млн.руб', '149', '96', '127', '86', '4', '17', '228', '7', '40', '2018-04-01 00:00:00', '9744.252', 'ARM', '8', '1', '1'),
('5', 'Факт/Базовый/ARM/1 месяц кв/посл день', '00006', 'Начисленная выручка от перевозочных видов деятельности', 'млн.руб', '149', '96', '127', '86', '4', '17', '228', '7', '40', '2018-05-01 00:00:00', '9772.81', 'ARM', '8', '1', '1'),
('5', 'Факт/Базовый/ARM/1 месяц кв/посл день доп поле', '00006', 'Начисленная выручка от перевозочных видов деятельности', 'млн.руб', '149', '96', '127', '86', '3', '17', '228', '3', '40', '2018-06-02 00:00:00', '328.983', 'ARM', '8', '1', '1'),
('6', 'Факт/Базовый/ARM/1 месяц кв/посл день', '00006', 'Начисленная выручка от перевозочных видов деятельности', 'млн.руб', '149', '96', '127', '86', '4', '17', '228', '7', '40', '2018-04-01 00:00:00', '9744.252', 'ARM', '8', '1', '1'),
('6', 'Факт/Базовый/ARM/1 месяц кв/посл день', '00006', 'Начисленная выручка от перевозочных видов деятельности', 'млн.руб', '149', '96', '127', '86', '4', '17', '228', '7', '40', '2018-05-01 00:00:00', '9772.81', 'ARM', '8', '1', '1'),
('6', 'Факт/Базовый/ARM/1 месяц кв/посл день', '00006', 'Начисленная выручка от перевозочных видов деятельности', 'млн.руб', '149', '96', '127', '86', '4', '17', '228', '7', '40', '2018-06-01 00:00:00', '10007.736', 'ARM', '8', '1', '1')
