('1','Факт/Среднесуточный/SAS/1ый месяц год/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-01-01 00:00:00', '145.95', 'SAS', '8', '1', '1'),
('2','Факт/Среднесуточный/SAS/1ый месяц год/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-01-09 00:00:00', '189.54545', 'SAS', '8', '1', '1'),
('3','Факт/Среднесуточный/SAS/1ый месяц год/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-01-31 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('4','Факт/Среднесуточный/SAS/2 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('4','Факт/Среднесуточный/SAS/2 месяца года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-02-01 00:00:00', '138.3', 'SAS', '8', '1', '1'),
('5','Факт/Среднесуточный/SAS/2 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('5','Факт/Среднесуточный/SAS/2 месяца года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-02-09 00:00:00', '156.44422331', 'SAS', '8', '1', '1'),
('6','Факт/Среднесуточный/SAS/2 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('6','Факт/Среднесуточный/SAS/2 месяца года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-02-28 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('7','Факт/Среднесуточный/SAS/3 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('7','Факт/Среднесуточный/SAS/3 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('7','Факт/Среднесуточный/SAS/3 месяца года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-03-01 00:00:00', '101.555555', 'SAS', '8', '1', '1'),
('8','Факт/Среднесуточный/SAS/3 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('8','Факт/Среднесуточный/SAS/3 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
