('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-01-01 00:00:00', '354', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-02-01 00:00:00', '678', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-03-01 00:00:00', '1039', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-04-01 00:00:00', '1392', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-05-01 00:00:00', '1748', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-06-01 00:00:00', '2108', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-07-01 00:00:00', '2471', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-08-01 00:00:00', '2838', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-09-01 00:00:00', '3208', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-10-01 00:00:00', '3582', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-11-01 00:00:00', '3959', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-12-01 00:00:00', '4340', 'SAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-01-01 00:00:00', '526654.288', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-02-01 00:00:00', '1033308.576', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-03-01 00:00:00', '1553962.864', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-04-01 00:00:00', '2077417.152', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-05-01 00:00:00', '2574071.44', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-06-01 00:00:00', '3084725.728', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-07-01 00:00:00', '3597079.016', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-08-01 00:00:00', '4102532.73257143', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-09-01 00:00:00', '4605882.77057143', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-10-01 00:00:00', '5107129.13', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-11-01 00:00:00', '5606271.81085714', 'NSAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-12-01 00:00:00', '6103310.81314286', 'NSAS', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-01-01 00:00:00', '248', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-02-01 00:00:00', '497', 'ARM', '8', '1', '1'),
