('1','1 января','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-01-01 00:00:00', '-3155743.02168607', 'SAS', '8', '1', '1'),
('2','31 декабря','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-12-31 00:00:00', '-2628540.73389531', 'SAS', '8', '1', '1'),
('3','1 апреля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-04-01 00:00:00', '-3194443.47040279', 'SAS', '8', '1', '1'),
('4','30 апреля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-04-30 00:00:00', '-3893839.92774208', 'SAS', '8', '1', '1'),
('5','1 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-05-01 00:00:00', '-3415845.0821322', 'SAS', '8', '1', '1'),
('6','15 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-05-15 00:00:00', '-3903619.31097882', 'SAS', '8', '1', '1'),
('7','31 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-05-31 00:00:00', '-3508933.45786838', 'SAS', '8', '1', '1'),
('8','1 февраля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-02-01 00:00:00', '-4022705.4521415', 'SAS', '8', '1', '1'),
('9','28 февраля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '86', '3', '30', '228', '3', '30', '2018-02-28 00:00:00', '-4322584.0193893', 'SAS', '8', '1', '1'),
('10','1 января','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-01-01 00:00:00', '-36295157.5377015', 'NSAS', '8', '1', '1'),
('11','31 декабря','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-12-31 00:00:00', '-50970382.5261441', 'NSAS', '8', '1', '1'),
('12','1 апреля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-04-01 00:00:00', '-83153981.709402', 'NSAS', '8', '1', '1'),
('13','30 апреля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-04-30 00:00:00', '-82707336.1609214', 'NSAS', '8', '1', '1'),
('14','1 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-05-01 00:00:00', '-114870733.746399', 'NSAS', '8', '1', '1'),
('15','15 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-05-15 00:00:00', '-82401901.2020666', 'NSAS', '8', '1', '1'),
('16','31 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-05-31 00:00:00', '-110027743.553267', 'NSAS', '8', '1', '1'),
('17','1 февраля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-02-01 00:00:00', '-149381169.128676', 'NSAS', '8', '1', '1'),
('18','28 февраля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-02-28 00:00:00', '-172404717.658453', 'NSAS', '8', '1', '1'),
('19','1 января','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-01-01 00:00:00', '-104778648.477737', 'ARM', '8', '1', '1'),
('20','31 декабря','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-12-31 00:00:00', '-157176046.559619', 'ARM', '8', '1', '1'),
('21','1 апреля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-04-01 00:00:00', '-241940957.961631', 'ARM', '8', '1', '1'),
('22','30 апреля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-04-30 00:00:00', '-187168299.561711', 'ARM', '8', '1', '1'),
('23','1 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-05-01 00:00:00', '-215041306.824875', 'ARM', '8', '1', '1'),
('24','15 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-05-15 00:00:00', '-186232566.479208', 'ARM', '8', '1', '1'),
('25','31 мая','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-05-31 00:00:00', '-244360682.763165', 'ARM', '8', '1', '1'),
('26','1 февраля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-02-01 00:00:00', '-264118638.218099', 'ARM', '8', '1', '1'),
('27','28 февраля','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '1', '3', '30', '228', '3', '30', '2018-02-28 00:00:00', '-284618801.66108', 'ARM', '8', '1', '1'),
('28','1 января','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '60', '3', '30', '228', '3', '30', '2018-01-01 00:00:00', '-198912353.743308', 'ASRB', '8', '1', '1'),
('29','31 декабря','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '430', '1', '127', '60', '3', '30', '228', '3', '30', '2018-12-31 00:00:00', '-268502253.71102', 'ASRB', '8', '1', '1'),
