('1','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '4', '30', '2018-01-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('2','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '4', '30', '2018-04-01 00:00:00', '69', 'SAS', '8', '1', '1'),
('3','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '4', '30', '2018-07-01 00:00:00', '100', 'SAS', '8', '1', '1'),
('4','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '4', '30', '2018-10-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('1','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '4', '39', '2018-01-01 00:00:00', '45', 'SAS', '8', '1', '1'),
('2','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '4', '39', '2018-04-01 00:00:00', '98', 'SAS', '8', '1', '1'),
('3','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '4', '39', '2018-07-01 00:00:00', '101', 'SAS', '8', '1', '1'),
('4','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '4', '39', '2018-10-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('1','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-01-01 00:00:00', '0.00606060606060606', 'SAS', '8', '1', '1'),
('2','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-04-01 00:00:00', '0.00580808080808081', 'SAS', '8', '1', '1'),
('3','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-07-01 00:00:00', '0.0119047619047619', 'SAS', '8', '1', '1'),
('4','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-10-01 00:00:00', '0.00493827160493827', 'SAS', '8', '1', '1'),
('1','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '4', '19', '2018-01-01 00:00:00', '45', 'SAS', '8', '1', '1'),
('2','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '4', '19', '2018-04-01 00:00:00', '98', 'SAS', '8', '1', '1'),
('3','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '4', '19', '2018-07-01 00:00:00', '101', 'SAS', '8', '1', '1'),
('4','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '4', '19', '2018-10-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('5','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '7', '30', '2018-01-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('6','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '7', '30', '2018-04-01 00:00:00', '69', 'SAS', '8', '1', '1'),
('7','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '7', '30', '2018-07-01 00:00:00', '100', 'SAS', '8', '1', '1'),
('8','','00012','Производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '2', '17', '228', '7', '30', '2018-10-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('5','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '7', '39', '2018-01-01 00:00:00', '45', 'SAS', '8', '1', '1'),
('6','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '7', '39', '2018-04-01 00:00:00', '98', 'SAS', '8', '1', '1'),
('7','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '7', '39', '2018-07-01 00:00:00', '101', 'SAS', '8', '1', '1'),
('8','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '2', '17', '228', '7', '39', '2018-10-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('5','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-01-01 00:00:00', '0.00606060606060606', 'SAS', '8', '1', '1'),
('6','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-04-01 00:00:00', '0.00580808080808081', 'SAS', '8', '1', '1'),
('7','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-07-01 00:00:00', '0.0119047619047619', 'SAS', '8', '1', '1'),
('8','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-10-01 00:00:00', '0.00493827160493827', 'SAS', '8', '1', '1'),
('5','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '7', '19', '2018-01-01 00:00:00', '45', 'SAS', '8', '1', '1'),
('6','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '7', '19', '2018-04-01 00:00:00', '98', 'SAS', '8', '1', '1'),
('7','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '7', '19', '2018-07-01 00:00:00', '101', 'SAS', '8', '1', '1'),
('8','','00027','Среднесуточный пробег локомотива рабочего парка', 'км', '90', '51', '127', '86', '2', '12', '228', '7', '19', '2018-10-01 00:00:00', '200', 'SAS', '8', '1', '1')
