('1','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-01-01 00:00:00', '69.7395833333333', 'SAS', '8', '1', '1'),
('2','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-02-01 00:00:00', '54.9108108108108', 'SAS', '8', '1', '1'),
('3','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-03-01 00:00:00', '69.8746631578947', 'SAS', '8', '1', '1'),
('4','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-04-01 00:00:00', '79.9704120754717', 'SAS', '8', '1', '1'),
('5','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-05-01 00:00:00', '89.9953677649154', 'SAS', '8', '1', '1'),
('6','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-06-01 00:00:00', '87.9874603709949', 'SAS', '8', '1', '1'),
('7','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-07-01 00:00:00', '68.9522690152122', 'SAS', '8', '1', '1'),
('8','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-08-01 00:00:00', '76.9207698170732', 'SAS', '8', '1', '1'),
('9','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-09-01 00:00:00', '87.92243008', 'SAS', '8', '1', '1'),
('10','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-10-01 00:00:00', '55.8864422809458', 'SAS', '8', '1', '1'),
('11','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-11-01 00:00:00', '58.8584943371086', 'SAS', '8', '1', '1'),
('12','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-12-01 00:00:00', '66.8941421419437', 'SAS', '8', '1', '1'),
('13','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-01-01 00:00:00', '69.7395833333333', 'SAS', '8', '1', '1'),
('14','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-02-01 00:00:00', '54.9108108108108', 'SAS', '8', '1', '1'),
('15','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-03-01 00:00:00', '69.8746631578947', 'SAS', '8', '1', '1'),
('16','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-04-01 00:00:00', '79.9704120754717', 'SAS', '8', '1', '1'),
('17','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-05-01 00:00:00', '89.9953677649154', 'SAS', '8', '1', '1'),
('18','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-06-01 00:00:00', '87.9874603709949', 'SAS', '8', '1', '1'),
('19','','00042','Влияние отклонения факта среднесуточного пробега локомотива рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-07-01 00:00:00', '68.9522690152122', 'SAS', '8', '1', '1'),
