('1','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-01-01 00:00:00', '-1089.28571428571', 'SAS', '8', '1', '1'),
('2','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-02-01 00:00:00', '-826.126126126126', 'SAS', '8', '1', '1'),
('3','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-03-01 00:00:00', '-938.81954887218', 'SAS', '8', '1', '1'),
('4','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-04-01 00:00:00', '-750.056603773583', 'SAS', '8', '1', '1'),
('5','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-05-01 00:00:00', '-607.13980409617', 'SAS', '8', '1', '1'),
('6','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-06-01 00:00:00', '-693.853288364248', 'SAS', '8', '1', '1'),
('7','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-07-01 00:00:00', '-360.384307445956', 'SAS', '8', '1', '1'),
('8','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-08-01 00:00:00', '-307.317073170731', 'SAS', '8', '1', '1'),
('9','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-09-01 00:00:00', '-671.727272727271', 'SAS', '8', '1', '1'),
('10','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-10-01 00:00:00', '-355.86926286509', 'SAS', '8', '1', '1'),
('11','','00037','Влияние отклонения факта грузооборота брутто к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-11-01 00:00:00', '-299.600266489007', 'SAS', '8', '1', '1'),
