('1','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-01-01 00:00:00', '248.660714285714', 'SAS', '8', '1', '1'),
('2','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-02-01 00:00:00', '298.873873873874', 'SAS', '8', '1', '1'),
('3','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-03-01 00:00:00', '187.872180451128', 'SAS', '8', '1', '1'),
('4','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-04-01 00:00:00', '98.1509433962264', 'SAS', '8', '1', '1'),
('5','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-05-01 00:00:00', '33.3588601959038', 'SAS', '8', '1', '1'),
('6','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-06-01 00:00:00', '64.2411467116357', 'SAS', '8', '1', '1'),
('7','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-07-01 00:00:00', '119.519615692554', 'SAS', '8', '1', '1'),
('8','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-08-01 00:00:00', '149.542682926829', 'SAS', '8', '1', '1'),
('9','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-09-01 00:00:00', '200.127272727273', 'SAS', '8', '1', '1'),
('10','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-10-01 00:00:00', '269.374130737135', 'SAS', '8', '1', '1'),
('11','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-11-01 00:00:00', '299.400399733511', 'SAS', '8', '1', '1'),
('12','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '5', '30', '2018-12-01 00:00:00', '286.23273657289', 'SAS', '8', '1', '1'),
('13','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-01-01 00:00:00', '248.660714285714', 'SAS', '8', '1', '1'),
('14','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-02-01 00:00:00', '298.873873873874', 'SAS', '8', '1', '1'),
('15','','00038','Влияние отклонения факта рабочего парка к плану на производительность локомотива рабочего парка в грузовом движении', 'тыс. ткм. бр.', '90', '51', '127', '86', '4', '30', '228', '7', '30', '2018-03-01 00:00:00', '187.872180451128', 'SAS', '8', '1', '1'),
