('1','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-01-02 00:00:00', '1803', 'SAS', '8', '1', '1'),
('2','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-04-02 00:00:00', '-1792', 'SAS', '8', '1', '1'),
('3','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-05-02 00:00:00', '-1473', 'SAS', '8', '1', '1'),
('4','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-02 00:00:00', '-1177', 'SAS', '8', '1', '1'),
('5','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-03 00:00:00', '-1184', 'SAS', '8', '1', '1'),
('6','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-04 00:00:00', '-2503', 'SAS', '8', '1', '1'),
('7','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-05 00:00:00', '697', 'SAS', '8', '1', '1'),
('8','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-06 00:00:00', '427', 'SAS', '8', '1', '1'),
('9','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-07 00:00:00', '130', 'SAS', '8', '1', '1'),
('10','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-08 00:00:00', '136', 'SAS', '8', '1', '1'),
('11','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-07-02 00:00:00', '414', 'SAS', '8', '1', '1'),
('12','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-08-02 00:00:00', '729', 'SAS', '8', '1', '1'),
('13','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-09-02 00:00:00', '1158', 'SAS', '8', '1', '1'),
('14','','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-09-03 00:00:00', '1000', 'SAS', '8', '1', '1')
