('1','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-01-02 00:00:00', '14504', 'SAS', '8', '1', '1'),
('2','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-04-02 00:00:00', '10286', 'SAS', '8', '1', '1'),
('3','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-05-02 00:00:00', '6549', 'SAS', '8', '1', '1'),
('4','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-02 00:00:00', '-11203', 'SAS', '8', '1', '1'),
('5','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-03 00:00:00', '-8548', 'SAS', '8', '1', '1'),
('6','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-04 00:00:00', '-6159', 'SAS', '8', '1', '1'),
('7','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-05 00:00:00', '-6115', 'SAS', '8', '1', '1'),
('8','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-06 00:00:00', '-6184', 'SAS', '8', '1', '1'),
('9','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-07 00:00:00', '-6274', 'SAS', '8', '1', '1'),
('10','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-06-08 00:00:00', '-7786', 'SAS', '8', '1', '1'),
('11','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-07-02 00:00:00', '-9270', 'SAS', '8', '1', '1'),
('12','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-08-02 00:00:00', '-11265', 'SAS', '8', '1', '1'),
('13','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-09-02 00:00:00', '-9701', 'SAS', '8', '1', '1'),
('14','','00019','Отказы 3 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '7', '44', '2019-09-03 00:00:00', '-8189', 'SAS', '8', '1', '1')
