('1','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-01-02 00:00:00', '9789.3', 'SAS', '8', '1', '1'),
('2','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-04-02 00:00:00', '1131.3', 'SAS', '8', '1', '1'),
('3','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-05-02 00:00:00', '-1233', 'SAS', '8', '1', '1'),
('4','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-02 00:00:00', '-5306.4', 'SAS', '8', '1', '1'),
('5','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-03 00:00:00', '-5352.3', 'SAS', '8', '1', '1'),
('6','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-04 00:00:00', '-5433.3', 'SAS', '8', '1', '1'),
('7','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-05 00:00:00', '-5466.6', 'SAS', '8', '1', '1'),
('8','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-06 00:00:00', '-5564.7', 'SAS', '8', '1', '1'),
('9','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-07 00:00:00', '-5606.1', 'SAS', '8', '1', '1'),
('10','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-06-08 00:00:00', '-3217.5', 'SAS', '8', '1', '1'),
('11','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-07-02 00:00:00', '-2934', 'SAS', '8', '1', '1'),
('12','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-08-02 00:00:00', '-3175.2', 'SAS', '8', '1', '1'),
('13','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-09-02 00:00:00', '-6538.5', 'SAS', '8', '1', '1'),
('14','','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '7', '44', '2019-09-03 00:00:00', '-6615.9', 'SAS', '8', '1', '1')
