('1','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-01-02 00:00:00', '4595', 'SAS', '8', '1', '1'),
('2','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-04-02 00:00:00', '1007', 'SAS', '8', '1', '1'),
('3','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-05-02 00:00:00', '1339', 'SAS', '8', '1', '1'),
('4','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-02 00:00:00', '1647', 'SAS', '8', '1', '1'),
('5','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-03 00:00:00', '1653', 'SAS', '8', '1', '1'),
('6','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-04 00:00:00', '1668', 'SAS', '8', '1', '1'),
('7','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-05 00:00:00', '1674', 'SAS', '8', '1', '1'),
('8','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-06 00:00:00', '1683', 'SAS', '8', '1', '1'),
('9','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-07 00:00:00', '1695', 'SAS', '8', '1', '1'),
('10','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-08 00:00:00', '1711', 'SAS', '8', '1', '1'),
('11','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-07-02 00:00:00', '2003', 'SAS', '8', '1', '1'),
('12','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-08-02 00:00:00', '2334', 'SAS', '8', '1', '1'),
('13','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-09-02 00:00:00', '2770', 'SAS', '8', '1', '1'),
('14','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-09-03 00:00:00', '2780', 'SAS', '8', '1', '1'),
('1','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-01-01 00:00:00', '2792', 'SAS', '8', '1', '1'),
('2','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-04-01 00:00:00', '2799', 'SAS', '8', '1', '1'),
('3','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-05-01 00:00:00', '2812', 'SAS', '8', '1', '1'),
('4','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-01 00:00:00', '2824', 'SAS', '8', '1', '1'),
('5','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-02 00:00:00', '2837', 'SAS', '8', '1', '1'),
('6','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-03 00:00:00', '4171', 'SAS', '8', '1', '1'),
('7','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-04 00:00:00', '977', 'SAS', '8', '1', '1'),
('8','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-05 00:00:00', '1256', 'SAS', '8', '1', '1'),
('9','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-06 00:00:00', '1565', 'SAS', '8', '1', '1'),
('10','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-06-07 00:00:00', '1575', 'SAS', '8', '1', '1'),
('11','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-07-01 00:00:00', '1589', 'SAS', '8', '1', '1'),
('12','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-08-01 00:00:00', '1605', 'SAS', '8', '1', '1'),
('13','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-09-01 00:00:00', '1612', 'SAS', '8', '1', '1'),
('14','00018','00018','Отказы 1,2 категории', 'ед.', '430', '1', '127', '86', '3', '10', '228', '1', '44', '2019-09-02 00:00:00', '1780', 'SAS', '8', '1', '1')
