('1','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-01-02 00:00:00', '9886.5', 'SAS', '8', '1', '1'),
('2','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-04-02 00:00:00', '12277.8', 'SAS', '8', '1', '1'),
('3','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-05-02 00:00:00', '14305.5', 'SAS', '8', '1', '1'),
('4','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-02 00:00:00', '14363.1', 'SAS', '8', '1', '1'),
('5','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-03 00:00:00', '14445', 'SAS', '8', '1', '1'),
('6','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-04 00:00:00', '14511.6', 'SAS', '8', '1', '1'),
('7','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-05 00:00:00', '14596.2', 'SAS', '8', '1', '1'),
('8','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-06 00:00:00', '14643.9', 'SAS', '8', '1', '1'),
('9','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-07 00:00:00', '14724.9', 'SAS', '8', '1', '1'),
('10','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-08 00:00:00', '17265.6', 'SAS', '8', '1', '1'),
('11','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-07-02 00:00:00', '21067.2', 'SAS', '8', '1', '1'),
('12','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-08-02 00:00:00', '24708.6', 'SAS', '8', '1', '1'),
('13','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-02 00:00:00', '24839.1', 'SAS', '8', '1', '1'),
('14','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-03 00:00:00', '24868.8', 'SAS', '8', '1', '1'),
('1','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-01-01 00:00:00', '97.2', 'SAS', '8', '1', '1'),
('2','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-04-01 00:00:00', '11146.5', 'SAS', '8', '1', '1'),
('3','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-05-01 00:00:00', '15538.5', 'SAS', '8', '1', '1'),
('4','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-01 00:00:00', '19669.5', 'SAS', '8', '1', '1'),
('5','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-02 00:00:00', '19797.3', 'SAS', '8', '1', '1'),
('6','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-03 00:00:00', '19944.9', 'SAS', '8', '1', '1'),
('7','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-04 00:00:00', '20062.8', 'SAS', '8', '1', '1'),
('8','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-05 00:00:00', '20208.6', 'SAS', '8', '1', '1'),
('9','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-06 00:00:00', '20331', 'SAS', '8', '1', '1'),
('10','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-07 00:00:00', '20483.1', 'SAS', '8', '1', '1'),
('11','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-07-01 00:00:00', '24001.2', 'SAS', '8', '1', '1'),
('12','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-08-01 00:00:00', '27883.8', 'SAS', '8', '1', '1'),
('13','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-01 00:00:00', '31377.6', 'SAS', '8', '1', '1'),
('14','00020','00020','Технологические нарушения', 'ед.', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-02 00:00:00', '31484.7', 'SAS', '8', '1', '1')
