('1','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-01-01 00:00:00', '207', 'SAS', '8', '1', '1'),
('2','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-04-01 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('3','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-05-01 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('4','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-01 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('5','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-02 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('6','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-03 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('7','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-04 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('8','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-05 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('9','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-06 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('10','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-06-07 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('11','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-07-01 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('12','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-08-01 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('13','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-01 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
('14','00104','00100','Эксплуатируемый парк в грузовом движении. Тепловозы', 'тяг.ед.', '430', '1', '127', '86', '3', '17', '228', '1', '38', '2018-09-02 00:00:00', '200.322580645161', 'SAS', '8', '1', '1'),
