('1','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-06-01 00:00:00', '97.2', 'SAS', '8', '1', '1'),
('2','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-07-01 00:00:00', '11146.5', 'SAS', '8', '1', '1'),
('3','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-08-01 00:00:00', '15538.5', 'SAS', '8', '1', '1'),
('4','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-01 00:00:00', '19669.5', 'SAS', '8', '1', '1'),
('5','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-02 00:00:00', '19797.3', 'SAS', '8', '1', '1'),
('6','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-03 00:00:00', '19944.9', 'SAS', '8', '1', '1'),
('7','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-04 00:00:00', '20062.8', 'SAS', '8', '1', '1'),
('8','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-05 00:00:00', '20208.6', 'SAS', '8', '1', '1'),
('9','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-06 00:00:00', '20331', 'SAS', '8', '1', '1'),
('10','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2018-09-07 00:00:00', '20483.1', 'SAS', '8', '1', '1'),
('11','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-06-01 00:00:00', '24001.2', 'SAS', '8', '1', '1'),
('12','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-07-01 00:00:00', '27883.8', 'SAS', '8', '1', '1'),
('13','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-08-01 00:00:00', '31377.6', 'SAS', '8', '1', '1'),
('14','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-01 00:00:00', '31484.7', 'SAS', '8', '1', '1'),
('15','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-02 00:00:00', '31566.6', 'SAS', '8', '1', '1')
