('1','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-04-01 00:00:00', '122', 'SAS', '8', '1', '1'),
('2','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-05-01 00:00:00', '120.340659340659', 'SAS', '8', '1', '1'),
('3','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-06-01 00:00:00', '119.396694214876', 'SAS', '8', '1', '1'),
('4','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-07-01 00:00:00', '119.631578947368', 'SAS', '8', '1', '1'),
('5','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-08-01 00:00:00', '119.54248366013', 'SAS', '8', '1', '1'),
('6','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-09-01 00:00:00', '119.454545454545', 'SAS', '8', '1', '1'),
('7','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2019-04-01 00:00:00', '119.509677419354', 'SAS', '8', '1', '1'),
('8','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2019-05-01 00:00:00', '119.551282051282', 'SAS', '8', '1', '1'),
('9','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2019-06-01 00:00:00', '119.605095541401', 'SAS', '8', '1', '1'),
('10','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2019-07-01 00:00:00', '119.56329113924', 'SAS', '8', '1', '1'),
('11','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2019-08-01 00:00:00', '120.296703296703', 'SAS', '8', '1', '1'),
('12','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2019-09-01 00:00:00', '122.056338028169', 'SAS', '8', '1', '1'),
('13','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-04-01 00:00:00', '121.971311475409', 'SAS', '8', '1', '1'),
('14','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-05-01 00:00:00', '121.94693877551', 'SAS', '8', '1', '1'),
('15','00149','00155','Приведенная работа для расчета произв.труда', 'млн. ткм.', '430', '1', '127', '86', '4', '17', '228', '5', '38', '2018-06-01 00:00:00', '121.886178861788', 'SAS', '8', '1', '1'),
('1','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-04-01 00:00:00', '56255.2', 'SAS', '8', '1', '1'),
('2','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-05-01 00:00:00', '55974.8', 'SAS', '8', '1', '1'),
('3','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-06-01 00:00:00', '55835.5', 'SAS', '8', '1', '1'),
('4','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-07-01 00:00:00', '55816.5', 'SAS', '8', '1', '1'),
('5','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-08-01 00:00:00', '55813.6', 'SAS', '8', '1', '1'),
('6','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-09-01 00:00:00', '55781.3', 'SAS', '8', '1', '1'),
('7','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2019-04-01 00:00:00', '55560.2', 'SAS', '8', '1', '1'),
('8','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2019-05-01 00:00:00', '55173', 'SAS', '8', '1', '1'),
('9','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2019-06-01 00:00:00', '54894.4', 'SAS', '8', '1', '1'),
('10','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2019-07-01 00:00:00', '54613.9', 'SAS', '8', '1', '1'),
('11','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2019-08-01 00:00:00', '54480.3', 'SAS', '8', '1', '1'),
('12','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2019-09-01 00:00:00', '54385.1', 'SAS', '8', '1', '1'),
('13','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-04-01 00:00:00', '3265.5', 'SAS', '8', '1', '1'),
('14','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-05-01 00:00:00', '3286.3', 'SAS', '8', '1', '1'),
('15','00149','00026','Среднесписочная численность на перевозках', 'чел.', '430', '1', '127', '86', '4', '17', '228', '5', '49', '2018-06-01 00:00:00', '3262.6', 'SAS', '8', '1', '1')
