('1','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-01-01 00:00:00', '114183.423754909', 'NSAS', '8', '1', '1'),
('2','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-04-01 00:00:00', '3430.5', 'NSAS', '8', '1', '1'),
('3','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-05-01 00:00:00', '3422.5', 'NSAS', '8', '1', '1'),
('4','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-01 00:00:00', '3423.7', 'NSAS', '8', '1', '1'),
('5','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-02 00:00:00', '3423.6', 'NSAS', '8', '1', '1'),
('6','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-03 00:00:00', '3423.4', 'NSAS', '8', '1', '1'),
('7','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-04 00:00:00', '3423.3', 'NSAS', '8', '1', '1'),
('8','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-05 00:00:00', '3423.2', 'NSAS', '8', '1', '1'),
('9','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-06 00:00:00', '3423', 'NSAS', '8', '1', '1'),
('10','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-07 00:00:00', '3422.9', 'NSAS', '8', '1', '1'),
('11','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-07-01 00:00:00', '3420.3', 'NSAS', '8', '1', '1'),
('12','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-08-01 00:00:00', '3423.7', 'NSAS', '8', '1', '1'),
('13','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-09-01 00:00:00', '3430.4', 'NSAS', '8', '1', '1'),
('14','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2019-01-01 00:00:00', '107143.27688231', 'NSAS', '8', '1', '1'),
('15','00031','00011','Средний вес грузового поезда', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2019-04-01 00:00:00', '3476.7', 'NSAS', '8', '1', '1'),
('1','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-01-01 00:00:00', '60.5548172980801', 'NSAS', '8', '1', '1'),
('2','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-04-01 00:00:00', '60.1', 'NSAS', '8', '1', '1'),
('3','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-05-01 00:00:00', '60', 'NSAS', '8', '1', '1'),
('4','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-01 00:00:00', '60', 'NSAS', '8', '1', '1'),
('5','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-02 00:00:00', '60', 'NSAS', '8', '1', '1'),
('6','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-03 00:00:00', '60', 'NSAS', '8', '1', '1'),
('7','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-04 00:00:00', '60', 'NSAS', '8', '1', '1'),
('8','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-05 00:00:00', '60', 'NSAS', '8', '1', '1'),
('9','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-06 00:00:00', '60', 'NSAS', '8', '1', '1'),
('10','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-06-07 00:00:00', '60', 'NSAS', '8', '1', '1'),
('11','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-07-01 00:00:00', '59.9', 'NSAS', '8', '1', '1'),
('12','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-08-01 00:00:00', '60.3', 'NSAS', '8', '1', '1'),
('13','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2018-09-01 00:00:00', '60.3', 'NSAS', '8', '1', '1'),
('14','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2019-01-01 00:00:00', '63.4987357318306', 'NSAS', '8', '1', '1'),
('15','00031','00028','Средний состав поезда', '', '430', '1', '127', '1', '3', '17', '228', '1', '69', '2019-04-01 00:00:00', '61', 'NSAS', '8', '1', '1')
