('1','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-01 00:00:00', '379', 'SAS', '8', '1', '1'),
('2','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-02 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('3','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-03 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('4','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-04 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('5','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-05 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('6','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-06 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('7','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-07 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('8','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-08 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('9','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-09 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('10','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-10 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('11','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-11 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('12','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-12 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('13','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-13 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('14','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-14 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('15','00065','00097','Эксплуатируемый парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-15 00:00:00', '366.774193548387', 'SAS', '8', '1', '1'),
('1','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-01 00:00:00', '280', 'SAS', '8', '1', '1'),
('2','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-02 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('3','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-03 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('4','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-04 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('5','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-05 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('6','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-06 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('7','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-07 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('8','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-08 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('9','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-09 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('10','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-10 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('11','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-11 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('12','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-12 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('13','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-13 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('14','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-14 00:00:00', '270.967741935483', 'SAS', '8', '1', '1'),
('15','00065','00081','Рабочий парк в грузовом движении. Электровозы', 'тяг.ед.', '430', '1', '127', '86', '3', '12', '228', '1', '38', '2018-01-15 00:00:00', '270.967741935483', 'SAS', '8', '1', '1')
