('1','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-01-01 00:00:00', '3.58139534883721', 'SAS', '8', '1', '1'),
('2','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-04-01 00:00:00', '2.71076064038996', 'SAS', '8', '1', '1'),
('3','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-05-01 00:00:00', '2.72030520829785', 'SAS', '8', '1', '1'),
('4','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-01 00:00:00', '2.79355077393099', 'SAS', '8', '1', '1'),
('5','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-02 00:00:00', '2.79503989750808', 'SAS', '8', '1', '1'),
('6','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-03 00:00:00', '2.79514891510601', 'SAS', '8', '1', '1'),
('7','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-04 00:00:00', '2.79627163781624', 'SAS', '8', '1', '1'),
('8','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-05 00:00:00', '2.79704430438697', 'SAS', '8', '1', '1'),
('9','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-06 00:00:00', '2.79814213299797', 'SAS', '8', '1', '1'),
('10','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-07 00:00:00', '2.79922691086466', 'SAS', '8', '1', '1'),
('11','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-07-01 00:00:00', '2.76576638806382', 'SAS', '8', '1', '1'),
('12','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-08-01 00:00:00', '2.77432887325135', 'SAS', '8', '1', '1'),
('13','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-01 00:00:00', '2.73515389001443', 'SAS', '8', '1', '1'),
('14','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-02 00:00:00', '2.73443445112008', 'SAS', '8', '1', '1'),
('15','00103','00103','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-03 00:00:00', '2.73270240637082', 'SAS', '8', '1', '1')
