('1','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-01-01 00:00:00', '4.81395348837209', 'SAS', '8', '1', '1'),
('2','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-04-01 00:00:00', '3.6436847568878', 'SAS', '8', '1', '1'),
('3','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-05-01 00:00:00', '3.65651414362113', 'SAS', '8', '1', '1'),
('4','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-01 00:00:00', '3.75496759872543', 'SAS', '8', '1', '1'),
('5','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-02 00:00:00', '3.75696921288424', 'SAS', '8', '1', '1'),
('6','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-03 00:00:00', '3.75711574952561', 'SAS', '8', '1', '1'),
('7','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-04 00:00:00', '3.75862486381793', 'SAS', '8', '1', '1'),
('8','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-05 00:00:00', '3.75966344810457', 'SAS', '8', '1', '1'),
('9','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-06 00:00:00', '3.76113910084792', 'SAS', '8', '1', '1'),
('10','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-07 00:00:00', '3.76259721135704', 'SAS', '8', '1', '1'),
('11','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-07-01 00:00:00', '3.71762105408578', 'SAS', '8', '1', '1'),
('12','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-08-01 00:00:00', '3.7291303685911', 'SAS', '8', '1', '1'),
('13','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-01 00:00:00', '3.67647308592849', 'SAS', '8', '1', '1'),
('14','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-02 00:00:00', '3.67550604793413', 'SAS', '8', '1', '1'),
('15','00104','00104','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-03 00:00:00', '3.67317790986208', 'SAS', '8', '1', '1')
