('1','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-06-01 00:00:00', '12247.3', 'SAS', '8', '1', '1'),
('2','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-07-01 00:00:00', '23378.9322580645', 'SAS', '8', '1', '1'),
('3','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-08-01 00:00:00', '27861.8322580645', 'SAS', '8', '1', '1'),
('4','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-01 00:00:00', '32082.8322580645', 'SAS', '8', '1', '1'),
('5','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-02 00:00:00', '32302.4322580645', 'SAS', '8', '1', '1'),
('6','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-03 00:00:00', '32547.2322580645', 'SAS', '8', '1', '1'),
('7','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-04 00:00:00', '32778.5322580645', 'SAS', '8', '1', '1'),
('8','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-05 00:00:00', '35218.4322580645', 'SAS', '8', '1', '1'),
('9','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-06 00:00:00', '38282.0322580645', 'SAS', '8', '1', '1'),
('10','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2018-09-07 00:00:00', '41105.3322580645', 'SAS', '8', '1', '1'),
('11','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2019-06-01 00:00:00', '44700.8322580645', 'SAS', '8', '1', '1'),
('12','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2019-07-01 00:00:00', '48637.4322580645', 'SAS', '8', '1', '1'),
('13','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2019-08-01 00:00:00', '52200.5322580645', 'SAS', '8', '1', '1'),
('14','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2019-09-01 00:00:00', '52389.5322580645', 'SAS', '8', '1', '1'),
('15','00110','00110','Потери поездо-часов, вызванных отказами 3 категории', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '48', '2019-09-02 00:00:00', '52547.0322580645', 'SAS', '8', '1', '1')
