('1','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-06-01 00:00:00', '1.62', 'SAS', '8', '1', '1'),
('2','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-07-01 00:00:00', '185.775', 'SAS', '8', '1', '1'),
('3','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-08-01 00:00:00', '258.975', 'SAS', '8', '1', '1'),
('4','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-01 00:00:00', '327.825', 'SAS', '8', '1', '1'),
('5','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-02 00:00:00', '329.955', 'SAS', '8', '1', '1'),
('6','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-03 00:00:00', '332.415', 'SAS', '8', '1', '1'),
('7','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-04 00:00:00', '334.38', 'SAS', '8', '1', '1'),
('8','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-05 00:00:00', '336.81', 'SAS', '8', '1', '1'),
('9','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-06 00:00:00', '338.85', 'SAS', '8', '1', '1'),
('10','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2018-09-07 00:00:00', '341.385', 'SAS', '8', '1', '1'),
('11','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2019-06-01 00:00:00', '400.02', 'SAS', '8', '1', '1'),
('12','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2019-07-01 00:00:00', '464.73', 'SAS', '8', '1', '1'),
('13','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2019-08-01 00:00:00', '522.96', 'SAS', '8', '1', '1'),
('14','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2019-09-01 00:00:00', '524.745', 'SAS', '8', '1', '1'),
('15','00112','00112','ѕредоставление окон, продолжительность', 'час', '430', '1', '127', '86', '3', '9', '228', '1', '4', '2019-09-02 00:00:00', '526.11', 'SAS', '8', '1', '1')
