('1','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-04-01 00:00:00', '0.00216868840569405', 'SAS', '8', '1', '1'),
('2','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-05-01 00:00:00', '0.00214990780388066', 'SAS', '8', '1', '1'),
('3','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-06-01 00:00:00', '0.00213836527325583', 'SAS', '8', '1', '1'),
('4','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-07-01 00:00:00', '0.00214330133468361', 'SAS', '8', '1', '1'),
('5','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-08-01 00:00:00', '0.00214181639708118', 'SAS', '8', '1', '1'),
('6','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-09-01 00:00:00', '0.00214148012783038', 'SAS', '8', '1', '1'),
('7','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2019-04-01 00:00:00', '0.00215099437041901', 'SAS', '8', '1', '1'),
('8','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2019-05-01 00:00:00', '0.00216684396446236', 'SAS', '8', '1', '1'),
('9','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2019-06-01 00:00:00', '0.00217882143791354', 'SAS', '8', '1', '1'),
('10','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2019-07-01 00:00:00', '0.00218924653136363', 'SAS', '8', '1', '1'),
('11','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2019-08-01 00:00:00', '0.00220807710854571', 'SAS', '8', '1', '1'),
('12','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2019-09-01 00:00:00', '0.00224429739079581', 'SAS', '8', '1', '1'),
('13','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-04-01 00:00:00', '0.0373514963942456', 'SAS', '8', '1', '1'),
('14','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-05-01 00:00:00', '0.0371076708686091', 'SAS', '8', '1', '1'),
('15','00149','00149','Темп роста пр. труда работников, занятых на перевозках', '%', '430', '1', '127', '86', '4', '17', '228', '5', '46', '2018-06-01 00:00:00', '0.0373586032188402', 'SAS', '8', '1', '1')
