('1','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-01-01 00:00:00', '120921052.631579', 'SAS', '8', '1', '1'),
('2','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-04-01 00:00:00', '201400000', 'SAS', '8', '1', '1'),
('3','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-05-01 00:00:00', '167375000', 'SAS', '8', '1', '1'),
('4','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-01 00:00:00', '149727272.727273', 'SAS', '8', '1', '1'),
('5','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-02 00:00:00', '150272727.272727', 'SAS', '8', '1', '1'),
('6','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-03 00:00:00', '151636363.636364', 'SAS', '8', '1', '1'),
('7','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-04 00:00:00', '152181818.181818', 'SAS', '8', '1', '1'),
('8','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-05 00:00:00', '153000000', 'SAS', '8', '1', '1'),
('9','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-06 00:00:00', '154090909.090909', 'SAS', '8', '1', '1'),
('10','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-07 00:00:00', '155545454.545455', 'SAS', '8', '1', '1'),
('11','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-07-01 00:00:00', '125187500', 'SAS', '8', '1', '1'),
('12','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-08-01 00:00:00', '129666666.666667', 'SAS', '8', '1', '1'),
('13','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-01 00:00:00', '131904761.904762', 'SAS', '8', '1', '1'),
('14','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-02 00:00:00', '132380952.380952', 'SAS', '8', '1', '1'),
('15','00150','00150','Удельный показатель по отказам 1, 2 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-03 00:00:00', '132952380.952381', 'SAS', '8', '1', '1')
