('1','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-04-01 00:00:00', '112146666.666667', 'SAS', '8', '1', '1'),
('2','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-05-01 00:00:00', '163064102.564103', 'SAS', '8', '1', '1'),
('3','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-01 00:00:00', '212358974.358974', 'SAS', '8', '1', '1'),
('4','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-02 00:00:00', '211569620.253165', 'SAS', '8', '1', '1'),
('5','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-03 00:00:00', '212594936.708861', 'SAS', '8', '1', '1'),
('6','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-04 00:00:00', '186450549.450549', 'SAS', '8', '1', '1'),
('7','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-05 00:00:00', '172121212.121212', 'SAS', '8', '1', '1'),
('8','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-06 00:00:00', '153508928.571429', 'SAS', '8', '1', '1'),
('9','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-06-07 00:00:00', '153513274.336283', 'SAS', '8', '1', '1'),
('10','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-07-01 00:00:00', '167380530.973451', 'SAS', '8', '1', '1'),
('11','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-08-01 00:00:00', '181486725.663717', 'SAS', '8', '1', '1'),
('12','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-01 00:00:00', '200159292.035398', 'SAS', '8', '1', '1'),
('13','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-02 00:00:00', '201159292.035398', 'SAS', '8', '1', '1'),
('14','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-03 00:00:00', '201902654.867257', 'SAS', '8', '1', '1'),
('15','00151','00151','Удельный показатель по отказам 3 категории', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '10', '228', '1', '106', '2018-09-04 00:00:00', '531930232.55814', 'SAS', '8', '1', '1')
