('1','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-01-01 00:00:00', '8102.63335584065', 'SAS', '8', '1', '1'),
('2','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-04-01 00:00:00', '922463.876061374', 'SAS', '8', '1', '1'),
('3','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-05-01 00:00:00', '1276336.21645598', 'SAS', '8', '1', '1'),
('4','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-01 00:00:00', '1603801.27687679', 'SAS', '8', '1', '1'),
('5','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-02 00:00:00', '1602228.85862044', 'SAS', '8', '1', '1'),
('6','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-03 00:00:00', '1601575.48601576', 'SAS', '8', '1', '1'),
('7','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-04 00:00:00', '1596505.04905823', 'SAS', '8', '1', '1'),
('8','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-05 00:00:00', '1359859.49612403', 'SAS', '8', '1', '1'),
('9','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-06 00:00:00', '1142062.68958544', 'SAS', '8', '1', '1'),
('10','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-06-07 00:00:00', '1000483.5589942', 'SAS', '8', '1', '1'),
('11','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-07-01 00:00:00', '1167907.50635018', 'SAS', '8', '1', '1'),
('12','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-08-01 00:00:00', '1353280.33545907', 'SAS', '8', '1', '1'),
('13','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-09-01 00:00:00', '1517739.75882635', 'SAS', '8', '1', '1'),
('14','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-09-02 00:00:00', '1516910.93573844', 'SAS', '8', '1', '1'),
('15','00152','00152','Удельный показатель по технологическим нарушениям', 'ед/млн. поездо-км', '430', '1', '127', '86', '3', '9', '228', '1', '106', '2018-09-03 00:00:00', '1515337.42331288', 'SAS', '8', '1', '1')
