('1','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-01-01 00:00:00', '1885.62081184793', 'NSAS', '8', '1', '1'),
('2','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-04-01 00:00:00', '57.0798668885191', 'NSAS', '8', '1', '1'),
('3','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-05-01 00:00:00', '57.0416666666667', 'NSAS', '8', '1', '1'),
('4','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-01 00:00:00', '57.0616666666667', 'NSAS', '8', '1', '1'),
('5','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-02 00:00:00', '57.06', 'NSAS', '8', '1', '1'),
('6','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-03 00:00:00', '57.0566666666667', 'NSAS', '8', '1', '1'),
('7','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-04 00:00:00', '57.055', 'NSAS', '8', '1', '1'),
('8','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-05 00:00:00', '57.0533333333333', 'NSAS', '8', '1', '1'),
('9','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-06 00:00:00', '57.05', 'NSAS', '8', '1', '1'),
('10','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-06-07 00:00:00', '57.0483333333333', 'NSAS', '8', '1', '1'),
('11','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-07-01 00:00:00', '57.1001669449082', 'NSAS', '8', '1', '1'),
('12','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-08-01 00:00:00', '56.7777777777778', 'NSAS', '8', '1', '1'),
('13','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2018-09-01 00:00:00', '56.8888888888889', 'NSAS', '8', '1', '1'),
('14','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2019-01-01 00:00:00', '1687.32929321302', 'NSAS', '8', '1', '1'),
('15','00031','00031','Вес вагона', 'тонн', '430', '1', '127', '1', '3', '17', '228', '1', '39', '2019-04-01 00:00:00', '56.9950819672131', 'NSAS', '8', '1', '1')
