('1','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-01-01 00:00:00', '2.29508196721311', 'SAS', '8', '1', '1'),
('2','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-04-01 00:00:00', '2.25167240581947', 'SAS', '8', '1', '1'),
('3','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-05-01 00:00:00', '2.2694744081258', 'SAS', '8', '1', '1'),
('4','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-01 00:00:00', '2.2650185203582', 'SAS', '8', '1', '1'),
('5','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-02 00:00:00', '2.26670664385616', 'SAS', '8', '1', '1'),
('6','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-03 00:00:00', '2.26837531300633', 'SAS', '8', '1', '1'),
('7','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-04 00:00:00', '2.26732887065429', 'SAS', '8', '1', '1'),
('8','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-05 00:00:00', '2.26653982530485', 'SAS', '8', '1', '1'),
('9','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-06 00:00:00', '2.26552004919964', 'SAS', '8', '1', '1'),
('10','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-07 00:00:00', '2.26631217118239', 'SAS', '8', '1', '1'),
('11','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-07-01 00:00:00', '2.25249515996428', 'SAS', '8', '1', '1'),
('12','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-08-01 00:00:00', '2.22002188753973', 'SAS', '8', '1', '1'),
('13','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-01 00:00:00', '2.2215694711958', 'SAS', '8', '1', '1'),
('14','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-02 00:00:00', '2.22201348107887', 'SAS', '8', '1', '1'),
('15','00066','00066','Коэффициент соотношения рабочего и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-03 00:00:00', '2.2231211484835', 'SAS', '8', '1', '1')
