('1','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-01-01 00:00:00', '3.10655737704918', 'SAS', '8', '1', '1'),
('2','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-04-01 00:00:00', '3.04779943501994', 'SAS', '8', '1', '1'),
('3','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-05-01 00:00:00', '3.07189571671315', 'SAS', '8', '1', '1'),
('4','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-01 00:00:00', '3.06586435434201', 'SAS', '8', '1', '1'),
('5','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-02 00:00:00', '3.06814935007674', 'SAS', '8', '1', '1'),
('6','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-03 00:00:00', '3.07040801296216', 'SAS', '8', '1', '1'),
('7','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-04 00:00:00', '3.06899157849279', 'SAS', '8', '1', '1'),
('8','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-05 00:00:00', '3.06792354925192', 'SAS', '8', '1', '1'),
('9','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-06 00:00:00', '3.06654320945239', 'SAS', '8', '1', '1'),
('10','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-06-07 00:00:00', '3.06761540313617', 'SAS', '8', '1', '1'),
('11','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-07-01 00:00:00', '3.04891309152309', 'SAS', '8', '1', '1'),
('12','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-08-01 00:00:00', '3.004958197777', 'SAS', '8', '1', '1'),
('13','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-01 00:00:00', '3.00705296279719', 'SAS', '8', '1', '1'),
('14','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-02 00:00:00', '3.00765396188891', 'SAS', '8', '1', '1'),
('15','00067','00067','Коэффициент соотношения эксплуатируемого и нерабочего парка локомотивов в грузовом движении. Электровозы', '', '430', '1', '127', '86', '3', '17', '228', '1', '22', '2018-09-03 00:00:00', '3.00915326884017', 'SAS', '8', '1', '1')
