('1','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-01 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('2','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-02 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('3','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-03 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('4','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-04 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('5','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-05 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('6','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-06 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('7','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-07 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('8','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-08 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('9','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-09 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('10','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-10 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('11','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-11 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('12','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-12 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('13','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-13 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('14','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-14 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1'),
('15','00099','00099','Коэффициент соотношения экспуатируемого и рабочего парка локомотивов в грузовом движении. Тепловозы', '', '430', '1', '127', '86', '3', '12', '228', '1', '22', '2018-01-15 00:00:00', '1.34415584415584', 'SAS', '8', '1', '1')
